p0_sim,delay_time_sim,p0_minus_pth_sim,p0_analytic,delay_time_analytic,p0_minus_pth_fit,delay_time_fit
3.800000000000e-10,1.582000000000e+09,1.800000000000e-10,3.800000000000e-10,1.492668545330e+09,3.937259849246e-11,3.241942546951e+09
3.900000000000e-10,1.540000000000e+09,1.900000000000e-10,3.900000000000e-10,1.452965437460e+09,4.082973454774e-11,3.187015077829e+09
4.000000000000e-10,1.501000000000e+09,2.000000000000e-10,4.000000000000e-10,1.416208414824e+09,4.228687060302e-11,3.134896318281e+09
4.100000000000e-10,1.465000000000e+09,2.100000000000e-10,4.100000000000e-10,1.382048859333e+09,4.374400665829e-11,3.085353056191e+09
4.200000000000e-10,1.431000000000e+09,2.200000000000e-10,4.200000000000e-10,1.350193517025e+09,4.520114271357e-11,3.038178399030e+09
4.300000000000e-10,1.399000000000e+09,2.300000000000e-10,4.300000000000e-10,1.320393653992e+09,4.665827876884e-11,2.993188067918e+09
4.400000000000e-10,1.370000000000e+09,2.400000000000e-10,4.400000000000e-10,1.292436704755e+09,4.811541482412e-11,2.950217310748e+09
4.500000000000e-10,1.342000000000e+09,2.500000000000e-10,4.500000000000e-10,1.266139762358e+09,4.957255087940e-11,2.909118315697e+09
4.600000000000e-10,1.316000000000e+09,2.600000000000e-10,4.600000000000e-10,1.241344448103e+09,5.102968693467e-11,2.869758031926e+09
4.700000000000e-10,1.291000000000e+09,2.700000000000e-10,4.700000000000e-10,1.217912827737e+09,5.248682298995e-11,2.832016323765e+09
4.800000000000e-10,1.267000000000e+09,2.800000000000e-10,4.800000000000e-10,1.195724130545e+09,5.394395904523e-11,2.795784399680e+09
4.900000000000e-10,1.245000000000e+09,2.900000000000e-10,4.900000000000e-10,1.174672090968e+09,5.540109510050e-11,2.760963468894e+09
,,,,,5.685823115578e-11,2.727463587668e+09
,,,,,5.831536721106e-11,2.695202664358e+09
,,,,,5.977250326633e-11,2.664105598041e+09
,,,,,6.122963932161e-11,2.634103529997e+09
,,,,,6.268677537688e-11,2.605133190982e+09
,,,,,6.414391143216e-11,2.577136330115e+09
,,,,,6.560104748744e-11,2.550059213574e+09
,,,,,6.705818354271e-11,2.523852183237e+09
,,,,,6.851531959799e-11,2.498469266968e+09
,,,,,6.997245565327e-11,2.473867833551e+09
,,,,,7.142959170854e-11,2.450008286334e+09
,,,,,7.288672776382e-11,2.426853790572e+09
,,,,,7.434386381910e-11,2.404370030150e+09
,,,,,7.580099987437e-11,2.382524990024e+09
,,,,,7.725813592965e-11,2.361288761227e+09
,,,,,7.871527198492e-11,2.340633365711e+09
,,,,,8.017240804020e-11,2.320532598699e+09
,,,,,8.162954409548e-11,2.300961886498e+09
,,,,,8.308668015075e-11,2.281898158025e+09
,,,,,8.454381620603e-11,2.263319728492e+09
,,,,,8.600095226131e-11,2.245206193934e+09
,,,,,8.745808831658e-11,2.227538335380e+09
,,,,,8.891522437186e-11,2.210298031662e+09
,,,,,9.037236042714e-11,2.193468179943e+09
,,,,,9.182949648241e-11,2.177032623176e+09
,,,,,9.328663253769e-11,2.160976083786e+09
,,,,,9.474376859296e-11,2.145284102953e+09
,,,,,9.620090464824e-11,2.129942984949e+09
,,,,,9.765804070352e-11,2.114939746037e+09
,,,,,9.911517675879e-11,2.100262067490e+09
,,,,,1.005723128141e-10,2.085898252357e+09
,,,,,1.020294488693e-10,2.071837185615e+09
,,,,,1.034865849246e-10,2.058068297397e+09
,,,,,1.049437209799e-10,2.044581529034e+09
,,,,,1.064008570352e-10,2.031367301642e+09
,,,,,1.078579930905e-10,2.018416487041e+09
,,,,,1.093151291457e-10,2.005720380807e+09
,,,,,1.107722652010e-10,1.993270677258e+09
,,,,,1.122294012563e-10,1.981059446239e+09
,,,,,1.136865373116e-10,1.969079111526e+09
,,,,,1.151436733668e-10,1.957322430737e+09
,,,,,1.166008094221e-10,1.945782476623e+09
,,,,,1.180579454774e-10,1.934452619619e+09
,,,,,1.195150815327e-10,1.923326511567e+09
,,,,,1.209722175879e-10,1.912398070520e+09
,,,,,1.224293536432e-10,1.901661466526e+09
,,,,,1.238864896985e-10,1.891111108341e+09
,,,,,1.253436257538e-10,1.880741630985e+09
,,,,,1.268007618090e-10,1.870547884081e+09
,,,,,1.282578978643e-10,1.860524920927e+09
,,,,,1.297150339196e-10,1.850667988232e+09
,,,,,1.311721699749e-10,1.840972516486e+09
,,,,,1.326293060302e-10,1.831434110910e+09
,,,,,1.340864420854e-10,1.822048542938e+09
,,,,,1.355435781407e-10,1.812811742209e+09
,,,,,1.370007141960e-10,1.803719789024e+09
,,,,,1.384578502513e-10,1.794768907238e+09
,,,,,1.399149863065e-10,1.785955457556e+09
,,,,,1.413721223618e-10,1.777275931214e+09
,,,,,1.428292584171e-10,1.768726944008e+09
,,,,,1.442863944724e-10,1.760305230653e+09
,,,,,1.457435305276e-10,1.752007639458e+09
,,,,,1.472006665829e-10,1.743831127286e+09
,,,,,1.486578026382e-10,1.735772754779e+09
,,,,,1.501149386935e-10,1.727829681853e+09
,,,,,1.515720747487e-10,1.719999163411e+09
,,,,,1.530292108040e-10,1.712278545296e+09
,,,,,1.544863468593e-10,1.704665260445e+09
,,,,,1.559434829146e-10,1.697156825241e+09
,,,,,1.574006189698e-10,1.689750836052e+09
,,,,,1.588577550251e-10,1.682444965943e+09
,,,,,1.603148910804e-10,1.675236961555e+09
,,,,,1.617720271357e-10,1.668124640130e+09
,,,,,1.632291631910e-10,1.661105886691e+09
,,,,,1.646862992462e-10,1.654178651352e+09
,,,,,1.661434353015e-10,1.647340946765e+09
,,,,,1.676005713568e-10,1.640590845676e+09
,,,,,1.690577074121e-10,1.633926478612e+09
,,,,,1.705148434673e-10,1.627346031664e+09
,,,,,1.719719795226e-10,1.620847744379e+09
,,,,,1.734291155779e-10,1.614429907749e+09
,,,,,1.748862516332e-10,1.608090862288e+09
,,,,,1.763433876884e-10,1.601828996200e+09
,,,,,1.778005237437e-10,1.595642743630e+09
,,,,,1.792576597990e-10,1.589530582987e+09
,,,,,1.807147958543e-10,1.583491035350e+09
,,,,,1.821719319095e-10,1.577522662933e+09
,,,,,1.836290679648e-10,1.571624067630e+09
,,,,,1.850862040201e-10,1.565793889607e+09
,,,,,1.865433400754e-10,1.560030805973e+09
,,,,,1.880004761307e-10,1.554333529487e+09
,,,,,1.894576121859e-10,1.548700807337e+09
,,,,,1.909147482412e-10,1.543131419962e+09
,,,,,1.923718842965e-10,1.537624179919e+09
,,,,,1.938290203518e-10,1.532177930809e+09
,,,,,1.952861564070e-10,1.526791546232e+09
,,,,,1.967432924623e-10,1.521463928796e+09
,,,,,1.982004285176e-10,1.516194009164e+09
,,,,,1.996575645729e-10,1.510980745130e+09
,,,,,2.011147006281e-10,1.505823120746e+09
,,,,,2.025718366834e-10,1.500720145470e+09
,,,,,2.040289727387e-10,1.495670853357e+09
,,,,,2.054861087940e-10,1.490674302278e+09
,,,,,2.069432448492e-10,1.485729573167e+09
,,,,,2.084003809045e-10,1.480835769298e+09
,,,,,2.098575169598e-10,1.475992015594e+09
,,,,,2.113146530151e-10,1.471197457955e+09
,,,,,2.127717890704e-10,1.466451262618e+09
,,,,,2.142289251256e-10,1.461752615534e+09
,,,,,2.156860611809e-10,1.457100721772e+09
,,,,,2.171431972362e-10,1.452494804948e+09
,,,,,2.186003332915e-10,1.447934106668e+09
,,,,,2.200574693467e-10,1.443417885994e+09
,,,,,2.215146054020e-10,1.438945418933e+09
,,,,,2.229717414573e-10,1.434515997940e+09
,,,,,2.244288775126e-10,1.430128931437e+09
,,,,,2.258860135678e-10,1.425783543356e+09
,,,,,2.273431496231e-10,1.421479172690e+09
,,,,,2.288002856784e-10,1.417215173067e+09
,,,,,2.302574217337e-10,1.412990912333e+09
,,,,,2.317145577889e-10,1.408805772152e+09
,,,,,2.331716938442e-10,1.404659147619e+09
,,,,,2.346288298995e-10,1.400550446890e+09
,,,,,2.360859659548e-10,1.396479090814e+09
,,,,,2.375431020101e-10,1.392444512592e+09
,,,,,2.390002380653e-10,1.388446157435e+09
