p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
,,1.948609721944e-10,0.000000000000e+00
,,1.949209841968e-10,0.000000000000e+00
,,1.949809961992e-10,0.000000000000e+00
,,1.950410082016e-10,0.000000000000e+00
,,1.951010202040e-10,0.000000000000e+00
,,1.951610322064e-10,0.000000000000e+00
,,1.952210442088e-10,0.000000000000e+00
,,1.952810562112e-10,0.000000000000e+00
,,1.953410682136e-10,0.000000000000e+00
,,1.954010802160e-10,0.000000000000e+00
,,1.954610922184e-10,0.000000000000e+00
,,1.955211042208e-10,0.000000000000e+00
,,1.955811162232e-10,0.000000000000e+00
,,1.956411282256e-10,0.000000000000e+00
,,1.957011402280e-10,0.000000000000e+00
,,1.957611522304e-10,0.000000000000e+00
,,1.958211642328e-10,0.000000000000e+00
,,1.958811762352e-10,0.000000000000e+00
,,1.959411882376e-10,0.000000000000e+00
,,1.960012002400e-10,0.000000000000e+00
,,1.960612122424e-10,0.000000000000e+00
,,1.961212242448e-10,0.000000000000e+00
,,1.961812362472e-10,0.000000000000e+00
,,1.962412482496e-10,0.000000000000e+00
,,1.963012602521e-10,0.000000000000e+00
,,1.963612722545e-10,0.000000000000e+00
,,1.964212842569e-10,0.000000000000e+00
,,1.964812962593e-10,0.000000000000e+00
,,1.965413082617e-10,0.000000000000e+00
,,1.966013202641e-10,0.000000000000e+00
,,1.966613322665e-10,0.000000000000e+00
,,1.967213442689e-10,0.000000000000e+00
,,1.967813562713e-10,0.000000000000e+00
,,1.968413682737e-10,0.000000000000e+00
,,1.969013802761e-10,0.000000000000e+00
,,1.969613922785e-10,0.000000000000e+00
,,1.970214042809e-10,0.000000000000e+00
,,1.970814162833e-10,0.000000000000e+00
,,1.971414282857e-10,0.000000000000e+00
,,1.972014402881e-10,0.000000000000e+00
,,1.972614522905e-10,0.000000000000e+00
,,1.973214642929e-10,0.000000000000e+00
,,1.973814762953e-10,0.000000000000e+00
,,1.974414882977e-10,0.000000000000e+00
,,1.975015003001e-10,0.000000000000e+00
,,1.975615123025e-10,0.000000000000e+00
,,1.976215243049e-10,0.000000000000e+00
,,1.976815363073e-10,0.000000000000e+00
,,1.977415483097e-10,0.000000000000e+00
,,1.978015603121e-10,0.000000000000e+00
,,1.978615723145e-10,0.000000000000e+00
,,1.979215843169e-10,0.000000000000e+00
,,1.979815963193e-10,0.000000000000e+00
,,1.980416083217e-10,0.000000000000e+00
,,1.981016203241e-10,0.000000000000e+00
,,1.981616323265e-10,0.000000000000e+00
,,1.982216443289e-10,0.000000000000e+00
,,1.982816563313e-10,0.000000000000e+00
,,1.983416683337e-10,0.000000000000e+00
,,1.984016803361e-10,0.000000000000e+00
,,1.984616923385e-10,0.000000000000e+00
,,1.985217043409e-10,0.000000000000e+00
,,1.985817163433e-10,0.000000000000e+00
,,1.986417283457e-10,0.000000000000e+00
,,1.987017403481e-10,0.000000000000e+00
,,1.987617523505e-10,0.000000000000e+00
,,1.988217643529e-10,0.000000000000e+00
,,1.988817763553e-10,0.000000000000e+00
