x_position,avg_sqrt_s,sqrt_avg_s
1.5315264186e+01,2.1141125691e-05,2.1142657946e-05
1.5707963268e+01,2.1155443950e-05,2.1157258518e-05
1.6100662350e+01,2.1141108505e-05,2.1142640231e-05
1.6493361431e+01,2.1101213932e-05,2.1102088222e-05
1.6886060513e+01,2.1043239109e-05,2.1043489835e-05
1.7278759595e+01,2.0976176963e-05,2.0976176963e-05
1.7671458676e+01,2.0908333792e-05,2.0908593649e-05
1.8064157758e+01,2.0848536324e-05,2.0849469406e-05
1.8456856840e+01,2.0806694759e-05,2.0808364063e-05
1.8849555922e+01,2.0791526087e-05,2.0793518509e-05
1.9242255003e+01,2.0806713368e-05,2.0808382062e-05
1.9634954085e+01,2.0848573043e-05,2.0849505334e-05
2.0027653167e+01,2.0908387976e-05,2.0908647388e-05
2.0420352248e+01,2.0976176963e-05,2.0976176963e-05
2.0813051330e+01,2.1043292079e-05,2.1043543229e-05
2.1205750412e+01,2.1101248714e-05,2.1102123719e-05
2.1598449493e+01,2.1141125691e-05,2.1142657946e-05
2.1991148575e+01,2.1155443950e-05,2.1157258518e-05
2.2383847657e+01,2.1141108505e-05,2.1142640231e-05
2.2776546739e+01,2.1101213932e-05,2.1102088222e-05
2.3169245820e+01,2.1043239109e-05,2.1043489835e-05
2.3561944902e+01,2.0976176963e-05,2.0976176963e-05
2.3954643984e+01,2.0908333792e-05,2.0908593649e-05
2.4347343065e+01,2.0848536324e-05,2.0849469406e-05
2.4740042147e+01,2.0806694759e-05,2.0808364063e-05
